ENROLLMENT ID - BUYER,ENROLLMENT STATE - BUYER,PROVIDER TYPE CODE - BUYER,PROVIDER TYPE TEXT - BUYER,NPI - BUYER,MULTIPLE NPI FLAG - BUYER,CCN - BUYER,ASSOCIATE ID - BUYER,ORGANIZATION NAME - BUYER,DOING BUSINESS AS NAME - BUYER,CHOW TYPE CODE,CHOW TYPE TEXT,EFFECTIVE DATE,ENROLLMENT ID - SELLER,ENROLLMENT STATE - SELLER,PROVIDER TYPE CODE - SELLER,PROVIDER TYPE TEXT - SELLER,NPI - SELLER,MULTIPLE NPI FLAG - SELLER,CCN - SELLER,ASSOCIATE ID - SELLER,ORGANIZATION NAME - SELLER,DOING BUSINESS AS NAME - SELLER
O20151020001712,WA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1881060507,N,505386,8921317611,MARYSVILLE OPERATIONS LLC,MARYSVILLE CARE CENTER,CH,CHANGE OF OWNERSHIP,2016-02-01,O20040824001247,WA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1023062247,N,505386,2365425204,CASCADE MEDICAL INVESTORS LIMITED PARTNERSHIP,MARYSVILLE CARE CENTER
O20151116000284,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1093101743,N,335691,1254641616,1 BETHESDA DRIVE OPERATING COMPANY LLC,ELDERWOOD AT HORNELL,CH,CHANGE OF OWNERSHIP,2016-04-12,O20100121000269,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1205803889,N,335691,0345154480,ST JAMES HOSPITAL,MCAULEY MANOR AT MERCYCARE
O20151222000157,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1619348257,N,105738,6901107721,SOLARIS HEALTHCARE IMPERIAL LLC,SOLARIS HEALTHCARE IMPERIAL,CH,CHANGE OF OWNERSHIP,2016-01-01,O20101103001453,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1457660771,N,105738,1254525165,IMPERIAL REHAB LLC,IMPERIAL HEALTH CARE CENTER
O20151222002250,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1679944268,N,105701,4789985458,SOLARIS HEALTHCARE MERRITT ISLAND LLC,SOLARIS HEALTHCARE MERRITT ISLAND,CH,CHANGE OF OWNERSHIP,2016-01-01,O20101104000181,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1821307968,N,105701,4688868508,MERRITT ISLAND REHAB LLC,THE HEALTH CENTER OF MERRITT ISLAND
O20151222002839,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1912378514,N,105960,0244531945,SOLARIS HEALTHCARE WINDERMERE LLC,SOLARIS HEALTHCARE WINDERMERE,CH,CHANGE OF OWNERSHIP,2016-01-01,O20101104001020,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1952610016,N,105960,6002000999,WINDERMERE REHAB LLC,THE HEALTH CENTER OF WINDERMERE
O20151223000003,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1487025078,N,105687,0749581445,SOLARIS HEALTHCARE PARKWAY LLC,SOLARIS HEALTHCARE PARKWAY,CH,CHANGE OF OWNERSHIP,2016-01-01,O20101104000277,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1639488968,N,105687,1254525181,PARKWAY REHAB LLC,PARKWAY HEALTH AND REHABILITATION CENTER
O20151223000073,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1649641234,N,105515,6800197500,SOLARIS HEALTHCARE PLANT CITY LLC,SOLARIS HEALTHCARE PLANT CITY,CH,CHANGE OF OWNERSHIP,2016-01-01,O20101104000691,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1104135243,N,105515,7315131281,PLANT CITY REHAB LLC,THE HEALTH CENTER OF PLANT CITY
O20151223001358,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1790158418,N,015016,9133420763,ATHENS HEALTH AND REHABILITATION LLC,,CH,CHANGE OF OWNERSHIP,2016-01-01,O20111128000618,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1780978593,N,015016,1052415031,"BEST HEALTH, LLC",ATHENS REHABILITATION CENTER AND SENIOR CARE
O20151228000004,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1053782524,N,105790,5294036851,SOLARIS HEALTHCARE NORTH NAPLES LLC,SOLARIS SENIOR LIVING NORTH NAPLES,CH,CHANGE OF OWNERSHIP,2016-01-01,O20101103000741,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1902115041,N,105790,0345434395,ARISTOCRAT REHAB LLC,THE ARISTOCRAT
O20151228000112,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1528439114,N,105979,8527369180,SOLARIS HEALTHCARE COCONUT CREEK LLC,SOLARIS HEALTHCARE COCONUT CREEK,CH,CHANGE OF OWNERSHIP,2016-01-01,O20101103001435,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1093024317,N,105979,3173717188,COCONUT CREEK REHAB LLC,THE HEALTH CENTER OF COCONUT CREEK
O20151228000310,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1770954364,N,105769,1658672225,SOLARIS HEALTHCARE LAKE CITY LLC,SOLARIS HEALTHCARE LAKE CITY,CH,CHANGE OF OWNERSHIP,2016-01-01,O20101104000075,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1285943324,N,105769,4385838291,LAKE CITY REHAB LLC,THE HEALTH CENTER OF LAKE CITY
O20151228000443,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1194196782,N,105561,0143521716,SOLARIS HEALTHCARE PENSACOLA LLC,SOLARIS HEALTHCARE PENSACOLA,CH,CHANGE OF OWNERSHIP,2016-01-01,O20101104000434,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1477862514,N,105561,9032303979,PENSACOLA REHAB LLC,THE HEALTH CENTER OF PENSACOLA
O20151228001131,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1275904864,N,105859,9436450020,SOLARIS HEALTHCARE CHARLOTTE HARBOR LLC,SOLARIS HEALTHCARE CHARLOTTE HARBOR,CH,CHANGE OF OWNERSHIP,2016-01-01,O20101103001388,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1467761783,N,105859,0749474757,CHARLOTTE HARBOR REHAB LLC,CHARLOTTE  HARBOR HEALTHCARE
O20151228001479,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1053782649,N,105915,7618278110,SOLARIS HEALTHCARE DAYTONA LLC,SOLARIS HEALTHCARE DAYTONA,CH,CHANGE OF OWNERSHIP,2016-01-01,O20101103001451,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1376852418,N,105915,8527252436,DAYTONA REHAB LLC,THE HEALTH CENTER OF DAYTONA BEACH
O20151228001988,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1043681620,N,105544,7315248820,SOLARIS HEALTHCARE BAYONET POINT LLC,SOLARIS HEALTHCARE BAYONET POINT,CH,CHANGE OF OWNERSHIP,2016-01-01,O20101103000919,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1003125329,N,105544,7012101082,BAYONET POINT REHAB LLC,BAYONET POINT HEALTH AND REHABILITATION CENTER
O20160121000759,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1639548449,N,555306,8921301177,AGVA LLC,KEI-AI SOUTH BAY HEALTHCARE CENTER,CH,CHANGE OF OWNERSHIP,2016-02-01,O20110614000069,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1538279419,N,555306,8527139963,KEIRO NURSING HOME,SOUTH BAY KEIRO NURSING HOME
O20160128000168,GA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1851757744,N,115541,7214230044,"CV SNF, LLC",CROSSVIEW CARE CENTER,CH,CHANGE OF OWNERSHIP,2016-01-01,O20121119000139,GA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1215203823,N,115541,3577714609,PINEVIEW 102 LLC,CROSSVIEW CARE CENTER
O20160128002026,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1619347465,N,555438,9335442136,ALAL LLC,KEI-AI LOS ANGELES HEALTHCARE CENTER,CH,CHANGE OF OWNERSHIP,2016-02-01,O20080612000586,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1487754297,N,555438,8527139963,KEIRO NURSING HOME,
O20160210002564,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1003272626,N,335618,8123322245,"LATTA ROAD NURSING HOME EAST, LLC",,CH,CHANGE OF OWNERSHIP,2016-02-01,O20080408000309,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1447348586,N,335618,3971680513,MORRIS E RICHARDSON,LATTA ROAD NURSING HOME A
O20160210002623,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1841656469,N,335617,9830493956,LATTA ROAD NURSING HOME WEST LLC,,CH,CHANGE OF OWNERSHIP,2016-02-01,O20080408000124,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1447348586,N,335617,3971680513,MORRIS E RICHARDSON,LATTA ROAD NURSING HOME
O20160223002699,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1952766693,N,555426,9537464961,FRESNO POSTACUTE CARE LLC,FRESNO POSTACUTE CARE,CH,CHANGE OF OWNERSHIP,2016-01-16,O20070208000383,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1235208349,N,555426,6800898560,"FRESNO HEALTHCARE, LLC",GOLDEN CROSS HEALTHCARE OF FRESNO
O20160224001883,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1063741445,N,365672,3577868868,NILES SKILLED NURSING LLC,AUTUMN HILLS CARE CENTER,CH,CHANGE OF OWNERSHIP,2016-01-01,O20100119000182,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1063741445,N,365672,9436291127,AUTUMN HILLS NURSING & REHABILITATION CENTER OF NILES LLC,AUTUMN HILLS CARE CENTER
O20160225001022,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1184080889,N,165531,2163727314,PREMIER ESTATES 509 LLC,GARDEN VIEW CARE CENTER,CH,CHANGE OF OWNERSHIP,2016-02-01,O20091119000307,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1215264726,N,165531,6608914270,"SHENANDOAH CARE CENTER, LLC",GARDEN VIEW CARE CENTER
O20160229000116,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1083070239,N,055052,1759686843,CALIFORNIA POST-ACUTE CARE LLC,CALIFORNIA POST-ACUTE CARE,CH,CHANGE OF OWNERSHIP,2016-01-01,O20100129000240,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1184796765,N,055052,0244373231,"MARLINDA CONVALESCENT HOSPITALS, INC",BLOOMFIELD EAST
O20160229001910,NC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1952766271,N,345036,6800191842,"ELIZABETH CITY HEALTH AND REHABILITATION, LLC",,CH,CHANGE OF OWNERSHIP,2016-01-01,O20061213000101,NC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1730184102,N,345036,0547268260,"CAROLINA ADVENTIST RETIREMENT SYSTEMS, INC.",
O20160309003051,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1003849506,N,365823,2264738798,MINERAL RIDGE SKILLED NURSING AND RESIDENTIAL CARE LLC,,CH,CHANGE OF OWNERSHIP,2016-01-01,O20060719000213,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1003849506,N,365823,2567471766,VISTA CARE CENTER OF MINERAL RIDGE LLC,VISTA CENTER AT THE RIDGE
O20160310000900,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1295037463,N,365760,5193021541,BOARDMAN SKILLED NURSING LLC,VISTA CENTER OF BOARDMAN,CH,CHANGE OF OWNERSHIP,2016-01-01,O20110315000081,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1295037463,N,365760,1658553557,VISTA CARE CENTER OF BOARDMAN LLC,VISTA CENTER OF BOARDMAN
O20160310001749,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1407843931,N,366087,6507162989,LISBON SKILLED NURSING AND RESIDENTIAL CARE LLC,CONTINUING HEALTHCARE OF LISBON,CH,CHANGE OF OWNERSHIP,2016-01-01,O20031216000820,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1407843931,N,366087,8123925369,"LISBON NURSING CARE CENTER, INC.",THE VISTA CENTRE
O20160311000067,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1376534610,N,366067,1456657865,MILAN SKILLED NURSING LLC,VISTA CARE CENTER OF MILAN,CH,CHANGE OF OWNERSHIP,2016-01-01,O20080213000492,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1376534610,N,366067,2961585997,"CLASSIC HEALTH CARE CENTER OF MILAN, INC.",VISTA CARE CENTER OF MILAN
O20160314001324,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1528085560,N,015066,3870899099,"FRANKLIN LTC, LLC",TERRACE MANOR NURSING & REHABILITATION CENTER,CH,CHANGE OF OWNERSHIP,2016-01-01,O20031113000324,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1528085560,N,015066,0749194926,TERRACE MANOR NURSING AND REHABILITATION CENTER INC.,TERRACE MANOR NURSING & REHABILITATION CENTER
O20160316000486,KY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1205292893,N,185442,7416082987,NAZARETH HOME INC,NAZARETH HOME CLIFTON,CH,CHANGE OF OWNERSHIP,2016-01-01,O20050421000057,KY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1518954114,N,185442,4183533052,"MERCY SACRED HEART, INC.",SACRED HEART VILLAGE
O20160316000622,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1548625882,N,335528001,4789980863,PRNC OPERATING LLC,PLATTSBURGH REHAB & NURSING CENTER,CH,CHANGE OF OWNERSHIP,2016-01-01,O20120320000448,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1477540193,N,335528001,1456511021,EVERGREEN VALLEY NURSING HOME,
O20160317001245,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1285099523,N,335378,7719283795,BVRNC OPERATING LLC,SODUS REHABILITATION & NURSING CENTER,CH,CHANGE OF OWNERSHIP,2016-02-29,O20100819000216,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1366445074,N,335378,2062546526,"BLOSSOM VIEW NURSING HOME, INC.",
O20160322001040,ID,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1700245594,N,135090,5193022978,SHAW MOUNTAIN OF CASCADIA LLC,SHAW MOUNTAIN OF CASCADIA,CH,CHANGE OF OWNERSHIP,2016-05-01,O20050801000426,ID,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1679677991,N,135090,5092622993,"MARQUIS COMPANIES I, INC",MARQUIS CARE AT SHAW MOUNTAIN
O20160328000621,MS,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1598139248,N,255334,8426355041,TUNICA COUNTY HEALTH & REHAB LLC,,CH,CHANGE OF OWNERSHIP,2016-01-09,O20120404000285,MS,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1376727818,N,255334,2567671407,TUNICA NURSING HOME LLC,
O20160331000188,IN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1619337839,N,155823,1850205162,HANCOCK REGIONAL HOSPITAL,SOUTHPOINTE HEALTHCARE CENTER,CH,CHANGE OF OWNERSHIP,2016-03-01,O20140625000263,IN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1386066835,N,155823,4486561404,KINDRED NURSING CENTERS LIMITED PARTNERSHIP,KINDRED TRANSITIONAL CARE AND REHABILITATION-SOUTHPOINTE
O20160401000002,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1932571437,N,105555,8325345630,THE REHABILITATION CENTER AT JUPITER GARDENS LLC,THE REHABILITATION CENTER AT JUPITER GARDENS,CH,CHANGE OF OWNERSHIP,2016-03-01,O20091221000459,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1326289109,N,105555,6800936956,"COURTYARD GARDENS REHABILITATION CENTER, L.L.C.","JUPITER CONVALESCENT CENTER, LLC"
O20160407000971,NJ,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1427422914,N,315387,1355649377,ALLAIRE HEALTHCARE GROUP LLC,ALLAIRE REHAB & NURSING,CH,CHANGE OF OWNERSHIP,2016-01-01,O20120507000079,NJ,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1750388443,N,315387,7012178536,COUNTY TREAS COUNTY OF MONMOUTH NJ,
O20160413000436,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1700250131,N,365978,2961700638,SCARLET OAKS NURSING AND REHABILITATION CENTER LLC,,CH,CHANGE OF OWNERSHIP,2016-02-01,O20141114002325,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1235548116,N,365978,2961624564,PSOR LLC,
O20160418000589,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1669831079,N,105820,8628105699,"BROOKS SKILLED NURSING FACILITY, A, INC.",UNIVERSITY CROSSING,CH,CHANGE OF OWNERSHIP,2016-06-01,O20110503000086,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1083752885,N,105820,1153506373,"THE FANNIE E. TAYLOR HOME FOR THE AGED, INC.",TAYLOR HOME
O20160418000895,UT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1740648989,N,465143,2769376326,BEAVER VALLEY HOSPITAL,CEDAR HEALTH AND REHABILITATION,CH,CHANGE OF OWNERSHIP,2016-02-02,O20130826001072,UT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1083671119,N,465143,5395988174,CEDAR CITY NURSING HOME LLC,KOLOB REGIONAL CARE AND REHABILITATION
O20160418001428,UT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1164881025,N,465152,2769376326,BEAVER VALLEY HOSPITAL,BELLA TERRA ST GEORGE,CH,CHANGE OF OWNERSHIP,2016-02-02,O20050727001209,UT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1154389203,N,465152,0547298986,ST GEORGE NURSING HOME LLC,KOLOB CARE & REHABILITATION OF ST GEORGE
O20160418001431,CT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1093173486,N,075366,0547568065,HAMDEN REHABILITATION LLC,HAMDEN REHABILITATION & HEALTH CARE CENTER,CH,CHANGE OF OWNERSHIP,2016-04-01,O20070815000417,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1528064490,N,075366,6901998335,HAMDEN HEALTH CARE LIMITED PARTNERSHIP,HAMDEN HEALTH CARE CENTER
O20160419000657,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1073979779,N,165248,4486952868,"PREMIER ESTATES 505, LLC",PLEASANT ACRES CARE CENTER,CH,CHANGE OF OWNERSHIP,2016-02-01,O20141014000763,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1508265943,N,165248,1355562448,"PLEASANT ACRES CARE CENTER, INC.",PLEASANT ACRES CARE CENTER
O20160419002674,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1972969681,N,165196,5395043624,"PREMIER ESTATES 502, LLC",GRANDVIEW HEALTH CARE CENTER,CH,CHANGE OF OWNERSHIP,2016-02-01,O20091209000288,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1932190758,N,165196,3476692112,"GRANDVIEW HEALTH CARE CENTER, INC.",GRANDVIEW HEALTH CARE CENTER
O20160420000487,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1811353519,N,165174,5395043665,"PREMIER ESTATES 510, LLC",CASA DE PAZ HEALTH CENTER,CH,CHANGE OF OWNERSHIP,2016-02-01,O20091222000700,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1770577405,N,165174,9739229782,"WAVERLEY - CASA DE PAZ, INC.",CASA DE PAZ
O20160420001791,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1346642592,N,555179,4385942580,NORTH POINT HEALTHCARE & WELLNESS CENTRE LP,,CH,CHANGE OF OWNERSHIP,2023-10-11,O20120627000157,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1417225848,N,555179,3173788072,NORTH POINT HEALTH & WELLNESS CENTER LLC,NORTHPOINTE HEALTHCARE CENTRE
O20160421000187,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1063878767,N,165241,9436457678,"PREMIER ESTATES 504, LLC",GRUNDY CARE CENTER,CH,CHANGE OF OWNERSHIP,2016-02-01,O20141014001952,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1285033605,N,165241,9830310952,"GRUNDY CARE CENTER, INC.",GRUNDY CARE CENTER
O20160422001647,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1083070783,N,165198,6204135486,"PREMIER ESTATES 506, LLC",IOWA CITY REHAB AND HEALTH CARE CENTER,CH,CHANGE OF OWNERSHIP,2016-02-01,O20141014001655,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1518366061,N,165198,8527289636,"IOWA CITY CARE CENTER, INC.",IOWA CITY REHABILITATION AND HEALTH CARE CENTER
O20160425000840,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1265898969,N,165235,3971802091,"PREMIER ESTATES 507, LLC",LENOX CARE CENTER,CH,CHANGE OF OWNERSHIP,2016-02-01,O20091209000423,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1184615908,N,165235,4082753736,"LENOX CARE CENTER, INC.",LENOX CARE CENTER
O20160425001389,CT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1336507722,N,075416,7719285956,NEW MILFORD REHABILITATION LLC,CANDLEWOOD VALLEY HEALTH & REHABILITATION CENTER,CH,CHANGE OF OWNERSHIP,2016-04-01,O20091214000426,CT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1881777597,N,075416,2163562646,CANDLEWOOD NEW MILFORD LLC,CANDLEWOOD VALLEY HEALTH & REHABILITATION CENTER
O20160428001601,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1447659255,N,055344,0042519811,GARDENVIEW HEALTHCARE & WELLNESS CENTRE LP,CLAREMONT HEIGHTS POST ACUTE,CH,CHANGE OF OWNERSHIP,2023-10-11,O20021230000001,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1982698882,N,055344,7012825144,"COUNTRY VILLA CLAREMONT HEALTHCARE CENTER, INC.",COUNTRY VILLA CLAREMONT HEALTHCARE
